id,name,category,views_thousand,growth_pct,saturation,opportunity,completion_pct,remake,search_inflow,tag_conv_pct,risk,action,stage
GRW,겟레디위드미 5분 루틴,beauty,182,38.4,34,84,61,72,64,5.2,Hot,아침 5분 루틴 + 핵심템 1개 클로즈업 훅,제작 대기
PSC,퍼스널컬러 진단 브이로그,beauty,141,33.1,41,78,58,66,71,6.1,Hot,톤 비교 전후 컷 + 추천 제품 정보 태그,아이디어 후보
ING,성분 분석 리뷰,beauty,98,12.6,58,54,49,38,55,4.4,Watch,논란 성분 1개를 30초로 정리하는 포맷,데이터 검토
KJN,키작녀 코디,fashion,167,29.7,39,80,57,69,62,5.8,Hot,키 작은 체형 비율 보정 3코디 + 룩별 태그,제작 대기
HAU,하울 언박싱,fashion,120,4.2,77,36,44,51,40,4.0,Late,이미 포화 — 가격대 특화 하울로 차별화 필요,데이터 검토
OOT,데일리 OOTD,fashion,105,2.1,81,31,41,47,36,3.6,Late,범용 OOTD는 늦음 — 직업/상황 특화로 좁히기,데이터 검토
HMT,홈트 2분 챌린지,sports,159,31.5,37,79,63,74,58,4.7,Hot,2분 따라하기 + 매트/밴드 정보 태그,제작 대기
RUN,러닝 기록 브이로그,sports,88,14.8,52,56,53,41,49,3.9,Watch,주간 기록 챌린지 시리즈로 재방문 유도,아이디어 후보
JZS,자취방 정리수납,living,173,35.9,33,83,64,77,66,6.4,Hot,1평 공간 비포애프터 + 수납템 정보 태그,제작 대기
PLT,플랜테리어,living,92,16.2,55,55,50,43,52,4.6,Watch,초보용 안 죽는 식물 3종 포맷,데이터 검토
JBG,1인 가구 장보기,grocery,156,30.2,38,81,60,70,61,6.7,Hot,3만원 일주일 장보기 + 품목 정보 태그,제작 대기
MPR,밀프렙 일주일,grocery,134,27.4,43,76,59,63,57,5.9,Hot,도시락 5개 + 용기/재료 정보 태그,아이디어 후보
CVS,편의점 신상 먹방,grocery,112,3.4,79,33,42,49,38,3.4,Late,포화 — 특정 편의점/카테고리로 좁혀야 함,데이터 검토
RMT,집들이 룸투어,living,101,18.6,49,58,52,45,47,5.1,Watch,예산별 룸투어로 시리즈화 + 가구 태그,아이디어 후보
