seller,category,gmv_million_krw,growth_pct,health_score,conversion_pct,review_score,ad_roas,risk,next_action
데일리에이블,패션,1840,14.2,76,3.8,4.7,4.2,안정,재구매 SKU 대상 검색광고 확대
블룸랩,뷰티,1210,-4.8,43,2.1,4.1,1.8,조치,상세페이지 표현 정비 및 할인 누수 차단
케이핏기어,스포츠,920,21.4,68,3.2,4.5,3.1,주의,고트래픽 액세서리 번들 구성
홈온,리빙,760,7.6,59,2.7,4.4,2.7,주의,배송 약속 노출 개선
프레시마켓,식품,1460,3.1,52,2.4,3.9,2.2,조치,신선식품 콜드체인 리뷰 이슈 대응
미오클로젯,패션,630,-2.9,47,2.0,4.2,1.9,조치,대표 이미지·사이즈 가이드 리뉴얼
퓨어서울,뷰티,1550,17.1,82,4.1,4.8,4.8,안정,멤버십 쿠폰 테스트 확대
리빙노트,리빙,510,10.4,71,3.0,4.6,3.4,안정,시즌 기획전 페이지 신설
런베이스,스포츠,430,-6.1,39,1.7,4.0,1.4,조치,저ROAS 캠페인 클러스터 중단
팬트리나인,식품,690,8.9,63,2.9,4.3,3.0,주의,정기배송 재구매 넛지 테스트
모먼트뷰티,뷰티,880,5.2,57,2.6,4.3,2.5,주의,신규 리뷰 적립 캠페인 강화
어반핏,스포츠,1120,12.7,70,3.3,4.4,3.6,안정,장바구니 이탈 리타게팅 설정
그린상회,식품,540,-1.4,45,2.2,4.0,2.0,조치,묶음배송 임계금액 안내 개선
코지홈,리빙,980,9.3,66,2.9,4.5,3.2,주의,베스트셀러 연관 추천 강화
